"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T25K5CEM","journalArticle","2023","Merow, Cory; Serra-Diaz, Josep M.; Enquist, Brian J.; Wilson, Adam M.","AI chatbots can boost scientific coding","Nature Ecology & Evolution","","2397-334X","10.1038/s41559-023-02063-3","https://www.nature.com/articles/s41559-023-02063-3","Chatbots powered by artificial intelligence, such as ChatGPT, are ready to speed up monotonous coding tasks and teach you new skills. We highlight, with worked examples, some advantages and limitations of using generative artificial intelligence for scientific coding and argue that if you are willing to debug, you can get a head start on more challenging tasks.","2023-04-26","2023-05-21 02:13:02","2023-05-21 02:13:02","2023-05-21 02:13:02","1-3","","","","","Nat Ecol Evol","","","","","","","","en","2023 Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/guerrero-fj/Zotero/storage/R9N2446H/Merow et al. - 2023 - AI chatbots can boost scientific coding.pdf; /Users/guerrero-fj/Zotero/storage/QQMKC54T/Supp_Merow_etal_23_chatbots_scientific_coding.pdf","","","Research management; Education; Ecological modelling; Biological techniques; Computational biology and bioinformatics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJPCHSED","journalArticle","2018","Marwick, Ben; Boettiger, Carl; Mullen, Lincoln","Packaging Data Analytical Work Reproducibly Using R (and Friends)","The American Statistician","","0003-1305","10.1080/00031305.2017.1375986","https://doi.org/10.1080/00031305.2017.1375986","Computers are a central tool in the research process, enabling complex and large-scale data analysis. As computer-based research has increased in complexity, so have the challenges of ensuring that this research is reproducible. To address this challenge, we review the concept of the research compendium as a solution for providing a standard and easily recognizable way for organizing the digital materials of a research project to enable other researchers to inspect, reproduce, and extend the research. We investigate how the structure and tooling of software packages of the R programming language are being used to produce research compendia in a variety of disciplines. We also describe how software engineering tools and services are being used by researchers to streamline working with research compendia. Using real-world examples, we show how researchers can improve the reproducibility of their work using research compendia based on R packages and related tools.","2018-01-02","2023-05-12 23:20:44","2023-05-12 23:20:44","2023-05-12 23:20:44","80-88","","1","72","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/00031305.2017.1375986","","/Users/guerrero-fj/Zotero/storage/EPT3UXKR/Marwick et al. - 2018 - Packaging Data Analytical Work Reproducibly Using .pdf; /Users/guerrero-fj/Zotero/storage/KWTABN67/Marwick et al. - 2018 - Packaging Data Analytical Work Reproducibly Using .pdf","","","Computational science; Open source software; Data science; Reproducible research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLQCR4ZH","journalArticle","2022","Ferro, Manuela Vanegas; Lee, Allen; Pritchard, Calvin; Barton, C. Michael; Janssen, Marco A.","Containerization for creating reusable model code","Socio-Environmental Systems Modelling","","2663-3027","10.18174/sesmo.18074","https://sesmo.org/article/view/18074","Will you be able to run your computational models in the future? Even with well-documented code, this can be difficult due to changes in the software frameworks and operating systems that your code was built on. In this paper we discuss the use of containers to preserve code and their software dependencies to reproduce simulation results in the future. Containers are standalone lightweight packages of the original model software and their dependencies that can be run independent of the platform. As such they are suitable for reuse and sharing results. However, the use of containers is rare in the field of modeling social-environmental systems. We provide an introduction to the basic principles of containerization, argue why it would be beneficial if this tool became common practice in the field, describe a conceptual walkthrough to the process of containerizing a model, and reflect on near future directions of containerization workflows.","2022-03-14","2023-05-09 06:23:13","2023-05-09 06:23:13","2023-05-09 06:23:13","18074-18074","","","3","","","","","","","","","","en","Copyright (c) 2021 Manuela Vanegas Ferro, Allen Lee, Calvin Pritchard, C. Michael Barton, Marco A. Janssen","","","","sesmo.org","","","","/Users/guerrero-fj/Zotero/storage/UR2SFZF4/Ferro et al. - 2022 - Containerization for creating reusable model code.pdf","","","reproducibility; computational models; containers; model portability; research software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2U7HDVM6","journalArticle","2022","Dempsey, William; Foster, Ian; Fraser, Scott; Kesselman, Carl","Sharing Begins at Home","Harvard data science review","","2688-8513","10.1162/99608f92.44d21b86","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9410569/","The broad sharing of research data is widely viewed as critical for the speed, quality, accessibility, and integrity of science. Despite increasing efforts to encourage data sharing, both the quality of shared data and the frequency of data reuse remain stubbornly low. We argue here that a significant reason for this unfortunate state of affairs is that the organization of research results in the findable, accessible, interoperable, and reusable (FAIR) form required for reuse is too often deferred to the end of a research project when preparing publications–by which time essential details are no longer accessible. Thus, we propose an approach to research informatics in which FAIR principles are applied continuously, from the inception of a research project and ubiquitously, to every data asset produced by experiment or computation. We suggest that this seemingly challenging task can be made feasible by the adoption of simple tools, such as lightweight identifiers (to ensure that every data asset is findable), packaging methods (to facilitate understanding of data contents), data access methods, and metadata organization and structuring tools (to support schema development and evolution). We use an example from experimental neuroscience to illustrate how these methods can work in practice., Imagine that you are presented with a crowded attic full of boxes of family photos and asked to assemble an accurate photographic record of some relative’s life. Most would find such a task extremely difficult. Researchers face similar challenges when attempting to comply with the data-sharing mandates that funding agencies and journals are increasingly enforcing. As they prepare a publication, they seek to assemble the data on which their results are based, but often find that these data are hard to identify, being distributed over different storage systems and labeled in ways that made sense when data was saved, but that convey little information today. Thus the data that they ultimately share are often incomplete or even inaccurate. As scientific progress depends on the ability to reproduce published research results, this situation is more than unfortunate. We suggest that this gap between intent and action is due primarily to poor process, not bad intentions, and in particular because data sharing concerns are often considered only at the end of an investigation when a publication is being prepared. We argue that the key to improved research data sharing is to adopt processes that make all data involved in a research project, in all phases, findable, accessible, interoperable, and reusable (or FAIR, in contemporary parlance). We suggest further that, just as digital cameras can simplify the family historian’s life by automatically recording a time and place for every photo, so can good tools simplify the adoption of the processes required to achieve such continuous and ubiquitous FAIRness. We use an example from a multi-year neuroscience investigation to illustrate how suitable methods and tools can result in not only better data sharing at the time of publication but also greater efficiency and effectiveness in the work of the research team over the course of a project.","2022","2023-05-09 06:21:42","2023-05-09 06:21:42","2023-05-09 06:21:42","10.1162/99608f92.44d21b86","","3","4","","Harv Data Sci Rev","","","","","","","","","","","","","PubMed Central","","PMID: 36035065 PMCID: PMC9410569","","/Users/guerrero-fj/Zotero/storage/UY8WDQZS/Dempsey et al. - 2022 - Sharing Begins at Home.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9410569/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWMXXPP3","journalArticle","2020","Nüst, Daniel; Sochat, Vanessa; Marwick, Ben; Eglen, Stephen J.; Head, Tim; Hirst, Tony; Evans, Benjamin D.","Ten simple rules for writing Dockerfiles for reproducible data science","PLOS Computational Biology","","1553-7358","10.1371/journal.pcbi.1008316","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1008316","Computational science has been greatly improved by the use of containers for packaging software and data dependencies. In a scholarly context, the main drivers for using these containers are transparency and support of reproducibility; in turn, a workflow’s reproducibility can be greatly affected by the choices that are made with respect to building containers. In many cases, the build process for the container’s image is created from instructions provided in a Dockerfile format. In support of this approach, we present a set of rules to help researchers write understandable Dockerfiles for typical data science workflows. By following the rules in this article, researchers can create containers suitable for sharing with fellow scientists, for including in scholarly communication such as education or scientific papers, and for effective and sustainable personal workflows.","2020-11-10","2023-05-09 06:19:16","2023-05-09 06:19:16","2023-05-09 06:19:16","e1008316","","11","16","","PLOS Computational Biology","","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","/Users/guerrero-fj/Zotero/storage/3LLP5FU5/Nüst et al. - 2020 - Ten simple rules for writing Dockerfiles for repro.pdf","","","Reproducibility; Computer software; Software tools; Programming languages; Computer and information sciences; Habits; Metadata; Source code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSJZT5GN","journalArticle","2020","Essawy, Bakinam T.; Goodall, Jonathan L.; Voce, Daniel; Morsy, Mohamed M.; Sadler, Jeffrey M.; Choi, Young Don; Tarboton, David G.; Malik, Tanu","A taxonomy for reproducible and replicable research in environmental modelling","Environmental Modelling & Software","","1364-8152","10.1016/j.envsoft.2020.104753","https://www.sciencedirect.com/science/article/pii/S1364815219311612","Despite the growing acknowledgment of reproducibility crisis in computational science, there is still a lack of clarity around what exactly constitutes a reproducible or replicable study in many computational fields, including environmental modelling. To this end, we put forth a taxonomy that defines an environmental modelling study as being either 1) repeatable, 2) runnable, 3) reproducible, or 4) replicable. We introduce these terms with illustrative examples from hydrology using a hydrologic modelling framework along with cyberinfrastructure aimed at fostering reproducibility. Using this taxonomy as a guide, we argue that containerization is an important but lacking component needed to achieve the goal of computational reproducibility in hydrology and environmental modelling. Examples from hydrology are provided to demonstrate how new tools, including a user-friendly tool for containerization of computational analyses called Sciunit, can lower the barrier to reproducibility and replicability in the environmental modelling community.","2020-12-01","2023-05-09 04:48:17","2023-05-09 04:48:17","2023-05-09 04:48:17","104753","","","134","","Environmental Modelling & Software","","","","","","","","en","","","","","ScienceDirect","","","","/Users/guerrero-fj/Zotero/storage/B8AALASP/Essawy et al. - 2020 - A taxonomy for reproducible and replicable researc.pdf; /Users/guerrero-fj/Zotero/storage/FC8EUQYV/S1364815219311612.html","","","Reproducibility; Containers; Docker; Replicability; Singularity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSZ5GWDF","journalArticle","2022","Figueiredo, Ludmilla; Scherer, Cédric; Cabral, Juliano Sarmento","A simple kit to use computational notebooks for more openness, reproducibility, and productivity in research","PLOS Computational Biology","","1553-7358","10.1371/journal.pcbi.1010356","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010356","The ubiquitous use of computational work for data generation, processing, and modeling increased the importance of digital documentation in improving research quality and impact. Computational notebooks are files that contain descriptive text, as well as code and its outputs, in a single, dynamic, and visually appealing file that is easier to understand by nonspecialists. Traditionally used by data scientists when producing reports and informing decision-making, the use of this tool in research publication is not common, despite its potential to increase research impact and quality. For a single study, the content of such documentation partially overlaps with that of classical lab notebooks and that of the scientific manuscript reporting the study. Therefore, to minimize the amount of work required to manage all the files related to these contents and optimize their production, we present a starter kit to facilitate the implementation of computational notebooks in the research process, including publication. The kit contains the template of a computational notebook integrated into a research project that employs R, Python, or Julia. Using examples of ecological studies, we show how computational notebooks also foster the implementation of principles of Open Science, such as reproducibility and traceability. The kit is designed for beginners, but at the end we present practices that can be gradually implemented to develop a fully digital research workflow. Our hope is that such minimalist yet effective starter kit will encourage researchers to adopt this practice in their workflow, regardless of their computational background.","2022-09-15","2023-05-09 04:47:14","2023-05-09 04:47:14","2023-05-09 04:47:14","e1010356","","9","18","","PLOS Computational Biology","","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","/Users/guerrero-fj/Zotero/storage/ZAVUWD3A/Figueiredo et al. - 2022 - A simple kit to use computational notebooks for mo.pdf","","","Open science; Reproducibility; Computer software; Language; Scientists; Software development; Programming languages; Syntax","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGHM4CGV","journalArticle","2022","Turner, Daniel B; Behm, Jocelyn E; Phillips, Payton M; Ramirez, Victoria A; Helmus, Matthew R","Coding for broader impact: leveraging coding skills for stakeholder communication","Frontiers in Ecology and the Environment","","1540-9309","10.1002/fee.2469","https://onlinelibrary.wiley.com/doi/abs/10.1002/fee.2469","Sharing ecological research with stakeholders has broader impacts for conservation and sustainability outcomes. However, ecologists face major challenges to effective communication with stakeholders, including lack of reciprocal trust, unacknowledged incentives, differing goals, and scientific inaccessibility. These obstacles largely stem from professional training in ecology prioritizing effective communication among peers over the public. Here, we argue that coding skills honed for peer communication can be leveraged to overcome these challenges within a “coding for broader impact” framework that provides tasks to promote effective communication and culminates in individualized stakeholder reports. The reports explicitly incorporate stakeholder knowledge and are coded in conjunction with tasks for peer communication. We illustrate the framework through three case studies in which we shared data and information about backyard biodiversity, agricultural impacts, and tick-borne disease with homeowners, farmers, and land managers. A coding for broader impact framework allows a common analytical tool to become a public communication skill valuable to diverse stakeholder audiences.","2022","2023-05-09 04:45:54","2023-05-09 04:45:54","2023-05-09 04:45:54","255-262","","4","20","","","Coding for broader impact","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/fee.2469","","/Users/guerrero-fj/Zotero/storage/DVLE7S9D/Turner et al. - 2022 - Coding for broader impact leveraging coding skill.pdf; /Users/guerrero-fj/Zotero/storage/PTHUVYK4/fee.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BE3EX547","journalArticle","2022","Braga, Pedro Henrique Pereira; Hébert, Katherine; Hudgins, Emma J.; Scott, Eric R.; Edwards, Brandon P. M.; Sánchez Reyes, Luna L.; Grainger, Matthew J.; Foroughirad, Vivienne; Hillemann, Friederike; Binley, Allison D.; Brookson, Cole B.; Gaynor, Kaitlyn M.; Shafiei Sabet, Saeed; Güncan, Ali; Weierbach, Helen; Gomes, Dylan G. E.; Crystal-Ornelas, Robert","Not just for programmers: How GitHub can accelerate collaborative and reproducible research in ecology and evolution","Methods in Ecology and Evolution","","2041-210X","10.1111/2041-210X.14108","https://onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.14108","Researchers in ecology and evolutionary biology are increasingly dependent on computational code to conduct research. Hence, the use of efficient methods to share, reproduce, and collaborate on code as well as document research is fundamental. GitHub is an online, cloud-based service that can help researchers track, organize, discuss, share, and collaborate on software and other materials related to research production, including data, code for analyses, and protocols. Despite these benefits, the use of GitHub in ecology and evolution is not widespread. To help researchers in ecology and evolution adopt useful features from GitHub to improve their research workflows, we review 12 practical ways to use the platform. We outline features ranging from low to high technical difficulty, including storing code, managing projects, coding collaboratively, conducting peer review, writing a manuscript, and using automated and continuous integration to streamline analyses. Given that members of a research team may have different technical skills and responsibilities, we describe how the optimal use of GitHub features may vary among members of a research collaboration. As more ecologists and evolutionary biologists establish their workflows using GitHub, the field can continue to push the boundaries of collaborative, transparent, and open research.","2022-10-27","2023-05-09 04:43:50","2023-10-31 18:52:26","2023-05-09 04:43:50","","","n/a","n/a","","","Not just for programmers","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.14108","","/Users/guerrero-fj/Zotero/storage/ZH6WXKZI/Braga et al. - Not just for programmers How GitHub can accelerat.pdf; /Users/guerrero-fj/Zotero/storage/7BXPMQMB/2041-210X.html","","","collaboration; data management; ecoinformatics; GitHub; open science; project management; reproducible research; version control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FASDAGPL","journalArticle","2019","Brinckman, Adam; Chard, Kyle; Gaffney, Niall; Hategan, Mihael; Jones, Matthew B.; Kowalik, Kacper; Kulasekaran, Sivakumar; Ludäscher, Bertram; Mecum, Bryce D.; Nabrzyski, Jarek; Stodden, Victoria; Taylor, Ian J.; Turk, Matthew J.; Turner, Kandace","Computing environments for reproducibility: Capturing the “Whole Tale”","Future Generation Computer Systems","","0167-739X","10.1016/j.future.2017.12.029","https://www.sciencedirect.com/science/article/pii/S0167739X17310695","The act of sharing scientific knowledge is rapidly evolving away from traditional articles and presentations to the delivery of executable objects that integrate the data and computational details (e.g., scripts and workflows) upon which the findings rely. This envisioned coupling of data and process is essential to advancing science but faces technical and institutional barriers. The Whole Tale project aims to address these barriers by connecting computational, data-intensive research efforts with the larger research process—transforming the knowledge discovery and dissemination process into one where data products are united with research articles to create “living publications” or tales. The Whole Tale focuses on the full spectrum of science, empowering users in the long tail of science, and power users with demands for access to big data and compute resources. We report here on the design, architecture, and implementation of the Whole Tale environment.","2019-05-01","2023-05-09 04:43:27","2023-05-09 04:43:27","2023-05-09 04:43:27","854-867","","","94","","Future Generation Computer Systems","Computing environments for reproducibility","","","","","","","en","","","","","ScienceDirect","","","","/Users/guerrero-fj/Zotero/storage/5RHYJ8SA/Brinckman et al. - 2019 - Computing environments for reproducibility Captur.pdf; /Users/guerrero-fj/Zotero/storage/5836ECPD/S0167739X17310695.html","","","Provenance; Reproducibility; Code sharing; Data sharing; Living publications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
